trace,count
11 12 13 17 43 3,7
1 75 26 3,7
11 12 13 18 3,7
11 12 16 81 3,7
11 12 19 43 3,7
11 12 22 68 3,7
11 12 16 73 3,7
1 2,7
11 12 13 14 34 3,7
1 75 47 3,7
11 12 16 14 35 3,6
11 12 16 29 3,6
1 75 83 3,6
1 6,6
11 12 16 36 3,6
1 7 25 3,6
11 12 16 33 3,6
1 75 37 3,6
1 75 33 3,6
11 12 22 59 3,6
11 12 22 18 3,6
11 12 16 23 40 3,6
11 12 22 48 3,6
11 12 19 42 3,6
1 75 10 3,6
1 75 66 3,6
11 12 19 14 28 3,6
11 12 22 74 3,6
11 12 19 14 30 3,6
11 12 13 36 3,6
11 12 13 20 28 3,6
11 12 16 48 3,6
1 2 23 25 3,6
11 12 22 27 34 3,6
1 7 73 3,6
11 12 19 20 21 3,6
11 12 16 55 3,6
11 12 19 25 3,6
1 7 31 3,6
11 12 19 21 3,6
1 2 23 55 3,6
11 12 16 43 3,6
11 12 16 41 3,6
1 9 79 3,6
11 12 13 27 15 3,6
11 12 16 58 3,6
1 9 78 3,6
1 9 82 3,6
1 6 23 10 3,6
11 12 19 29 3,5
11 12 16 14 42 3,5
11 12 13 14 35 3,5
11 12 16 14 43 3,5
11 12 13 58 3,5
1 9 83 3,5
11 12 13 54 3,5
1 75 4 3,5
11 12 16 17 24 3,5
1 75 58 3,5
11 12 16 17 35 3,5
11 12 19 23 43 3,5
11 12 13 14 24 3,5
11 12 13 14 32 3,5
11 12 13 14 39 3,5
1 9 31 3,5
1 7 77 3,5
1 7 82 3,5
1 7 27 47 3,5
11 12 19 56 3,5
11 12 13 27 30 3,5
1 75 18 3,5
11 12 19 17 35 3,5
11 12 22 17 34 3,5
11 12 22 17 40 3,5
1 9 66 3,5
1 9 18 3,5
1 76 57 3,5
1 9 64 3,5
11 12 16 51 3,5
1 75 79 3,5
1 75 78 3,5
11 12 19 38 3,5
11 12 13 27 24 3,5
11 12 16 14 34 3,5
1 9 80 3,5
1 75 69 3,5
11 12 16 23 30 3,5
11 12 22 46 3,5
1 2 23 31 3,5
1 6 23 69 3,5
1 2 23 53 3,5
1 2 23 73 3,5
1 6 23 56 3,5
1 2 17 8 3,5
1 6 27 68 3,5
1 2 14 53 3,5
1 2 23 10 3,5
1 6 23 37 3,5
1 2 23 29 3,5
11 12 22 20 28 3,5
1 2 27 64 3,4
1 9 63 3,4
1 75 54 3,4
1 7 23 79 3,4
1 2 27 10 3,4
11 12 22 14 28 3,4
11 12 22 45 3,4
11 12 13 17 28 3,4
11 12 22 27 51 3,4
